First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Phil,Rowe,The Fresh Prince,75.0,170.0,80.0,Orthodox,10,5,0,
Cam,Rowston,Battle Giraffe,74.0,185.0,78.0,Orthodox,8,3,0,
Kain,Royer,,,185.0,,Unrecorded,2,2,0,
Brad,Royster,,,135.0,,Unrecorded,1,2,0,
Brandon,Royval,Raw Dawg,69.0,125.0,68.0,Southpaw,17,7,0,
Jairzinho,Rozenstruik,Bigi Boy,74.0,242.0,78.0,Orthodox,15,6,0,
Mauricio,Rua,Shogun,73.0,205.0,76.0,Orthodox,27,14,1,
Murilo,Rua,Ninja,71.0,185.0,,Orthodox,20,13,1,
Marco,Ruas,King of the Streets,73.0,210.0,,Orthodox,9,4,2,
Rodrigo,Ruas,,70.0,185.0,,Orthodox,4,5,1,
Rodolfo,Rubio Perez,Fito,65.0,145.0,,Orthodox,10,16,1,
Gabe,Ruediger,Godzilla,70.0,155.0,,Orthodox,18,8,0,
Mauricio,Ruffy,,71.0,155.0,75.0,Orthodox,12,1,0,
Eddie,Ruiz,,67.0,155.0,,Orthodox,1,1,0,
Anthony,Ruiz,El Toro,74.0,205.0,,Orthodox,33,22,0,
Paul,Ruiz,,66.0,135.0,,Unrecorded,7,4,0,
Montserrat Conejo,Ruiz,,60.0,115.0,61.0,Southpaw,10,4,0,
Mike,Russow,,73.0,255.0,73.0,Orthodox,15,3,0,
Bas,Rutten,El Guapo,73.0,205.0,,Orthodox,28,4,1,
Mashrabjon,Ruzibaev,Black Junior,68.0,155.0,67.0,Orthodox,20,4,1,
Nursulton,Ruziboev,Black,77.0,185.0,76.0,Orthodox,35,9,2,
Casey,Ryan,,,185.0,,Unrecorded,7,3,0,
Yusup,Saadulaev,Maestro,66.0,135.0,,Unrecorded,16,4,1,
Cameron,Saaiman,MSP,68.0,135.0,67.0,Southpaw,9,2,0,
Pete,Sabala,,,135.0,,Unrecorded,3,15,0,
Danny,Sabatello,Italian Gangster,70.0,135.0,71.0,Orthodox,9,1,0,
Pat,Sabatini,,68.0,145.0,70.0,Orthodox,19,5,0,
Amir,Sadollah,,70.0,170.0,75.0,Orthodox,6,5,0,
Nazim,Sadykhov,Black Wolf,70.0,155.0,69.0,Southpaw,10,1,1,
Frankie,Saenz,,66.0,135.0,66.0,Orthodox,13,7,0,
Saparbeg,Safarov,,73.0,185.0,78.0,Orthodox,9,3,0,
Tarec,Saffiedine,Sponge,70.0,170.0,70.0,Switch,16,7,0,
Jason,Saggo,,71.0,155.0,71.0,Orthodox,12,4,0,
Kiru,Sahota,,70.0,125.0,73.0,Orthodox,12,3,0,
Tatsuya,Saika,Yanbo,72.0,155.0,73.0,Orthodox,11,5,0,
Benoit,Saint Denis,God of War,71.0,155.0,73.0,Southpaw,13,3,0,
Ovince,Saint Preux,,75.0,205.0,80.0,Southpaw,27,18,0,
Lukasz,Sajewski,Wookie,68.0,155.0,71.0,Orthodox,13,3,0,
Yukio,Sakaguchi,,69.0,185.0,,Orthodox,6,7,0,
Augusto,Sakai,,75.0,265.0,77.0,Orthodox,16,5,1,
Alessio,Sakara,Legionarius,72.0,185.0,72.0,Orthodox,19,11,0,
Wataru,Sakata,,69.0,195.0,,Southpaw,11,14,0,
Gokhan,Saki,The Rebel,72.0,205.0,73.0,Orthodox,1,2,0,
Kazushi,Sakuraba,The Gracie Hunter,72.0,185.0,,Southpaw,26,17,1,
Hayato,Sakurai,Mach,67.0,168.0,,Orthodox,38,13,2,
Ryuta,Sakurai,,67.0,183.0,,Orthodox,24,24,6,
Justin,Salas,J-Bomb,68.0,155.0,70.0,Southpaw,12,7,0,
Ivan,Salaverry,,72.0,185.0,,Orthodox,14,9,0,
Roman,Salazar,El Gallito,67.0,135.0,,Orthodox,10,6,0,
Luis,Saldana,,71.0,145.0,73.0,Orthodox,16,7,1,
John,Salgado,Greco,70.0,170.0,,Unrecorded,4,8,1,
Muslim,Salikhov,King of Kung Fu,71.0,170.0,70.0,Orthodox,21,5,0,
Gabriel,Salinas-Jones,,73.0,245.0,,Unrecorded,5,2,1,
Brandon,Saling,White Steel,70.0,170.0,,Unrecorded,8,6,0,
Quillan,Salkilld,,72.0,155.0,75.0,Orthodox,8,1,0,
Sean,Salmon,,70.0,185.0,,Southpaw,18,21,0,
Boston,Salmon,Boom Boom,69.0,135.0,69.0,Southpaw,6,3,0,
John,Salter,,73.0,185.0,74.0,Southpaw,14,3,0,
Vinicius,Salvador,,67.0,135.0,70.0,Southpaw,14,7,0,
Dylan,Salvador,,69.0,155.0,69.0,Southpaw,5,2,0,
Josh,Samman,Anqa,75.0,185.0,79.0,Orthodox,13,4,0,
Johnny,Sampaio,,68.0,170.0,,Orthodox,3,1,0,
Josh,Sampo,The Gremlin,64.0,125.0,64.0,Orthodox,11,5,0,
Josh,San Diego,JSD,70.0,135.0,,Unrecorded,8,3,0,
Diego,Sanchez,Nightmare,70.0,170.0,72.0,Southpaw,31,13,0,
Eddie,Sanchez,The Manic Hispanic,74.0,230.0,74.0,Orthodox,15,8,0,
Julian,Sanchez,,75.0,300.0,,Orthodox,0,1,0,
Bobby,Sanchez,The Kid,67.0,155.0,,Orthodox,10,35,0,
Donald,Sanchez,,70.0,145.0,,Unrecorded,31,17,0,
Joby,Sanchez,,66.0,135.0,68.0,Orthodox,11,4,0,
Emmanuel,Sanchez,El Matador,69.0,145.0,71.0,Unrecorded,15,3,0,
Erick,Sanchez,,70.0,145.0,,Unrecorded,8,3,0,
Andrew,Sanchez,El Dirte,73.0,185.0,74.0,Orthodox,13,7,0,
Robert,Sanchez,Littlefury,66.0,125.0,66.0,Orthodox,8,2,0,
Jesse,Sanders,,72.0,170.0,,Orthodox,23,7,0,
Luke,Sanders,Cool Hand,66.0,135.0,67.0,Southpaw,13,5,0,
Jerrod,Sanders,J-Reazie,68.0,135.0,72.0,Orthodox,16,3,0,
Cory,Sandhagen,,71.0,135.0,70.0,Switch,17,5,0,
Hugo,Sandoval,,,135.0,,Unrecorded,2,3,0,
Raul,Sandoval,,,130.0,,Unrecorded,3,3,0,
Joseph,Sandoval,,67.0,135.0,,Southpaw,7,7,0,
Hector,Sandoval,Kid Alex,62.0,125.0,64.0,Orthodox,14,4,0,
Chris,Sanford,,71.0,185.0,,Orthodox,5,1,0,
Roldan,Sangcha'an,The Executioner,64.0,125.0,,Orthodox,4,2,0,
Yuhi,Sano,,71.0,243.0,,Orthodox,0,4,0,
Martin,Sano,Spartan,71.0,170.0,75.0,Orthodox,4,3,1,
Jonathan,Santa Maria,,69.0,125.0,,Unrecorded,3,4,0,
Duda,Santana,Cowboyzinha,67.0,145.0,73.0,Orthodox,3,1,0,
Shaheen,Santana,Shazam,73.0,155.0,75.0,Orthodox,6,1,0,
Sean,Santella,Shorty Rock,65.0,125.0,,Unrecorded,17,6,1,
Jorge,Santiago,The Sandman,73.0,170.0,75.0,Orthodox,25,12,0,
Mike,Santiago,,70.0,145.0,69.0,Orthodox,19,12,0,
Will,Santiago,The Brown Bomber,67.0,185.0,,Orthodox,9,5,0,
Richie,Santiago,The Milford Mauler,67.0,135.0,67.0,Southpaw,7,2,0,
Jose,Santibanez,,,155.0,,Unrecorded,10,3,0,
Art,Santore,Pachuco,74.0,185.0,,Unrecorded,18,8,0,
Adriano,Santos,,,,,Unrecorded,0,1,0,
Paulo,Santos,,,,,Unrecorded,0,3,0,
Evangelista,Santos,Cyborg,70.0,170.0,76.0,Orthodox,21,18,0,
Luis,Santos,,73.0,170.0,,Southpaw,63,10,1,
Iliarde,Santos,,65.0,125.0,67.0,Orthodox,30,13,1,
Leonardo,Santos,,72.0,155.0,75.0,Orthodox,18,7,1,
Thiago,Santos,Marreta,74.0,205.0,76.0,Orthodox,22,11,0,
Bruno,Santos,Carioca,69.0,185.0,,Orthodox,15,2,0,
Andre,Santos,Chatuba,72.0,170.0,,Unrecorded,38,10,0,
Gleristone,Santos,Toninho Furia,69.0,145.0,,Unrecorded,33,7,0,
Yana,Santos,,66.0,135.0,68.0,Orthodox,15,8,0,
Taila,Santos,,66.0,125.0,68.0,Orthodox,19,3,0,
Marilia,Santos,Chocolate,64.0,125.0,,Orthodox,10,3,0,
Edivan,Santos,Pe De Sapo,76.0,248.0,78.0,Orthodox,12,3,1,
Daniel,Santos,Willycat,67.0,135.0,67.0,Orthodox,12,2,0,
Gabriel,Santos,Mosquitinho,69.0,145.0,70.0,Orthodox,12,2,0,
Luana,Santos,,66.0,125.0,67.0,Orthodox,8,2,0,
Djorden,Santos,Shakur,72.0,185.0,75.0,Orthodox,10,2,0,
Mairon,Santos,The Legend,67.0,145.0,72.0,Orthodox,16,1,0,
Nick,Sanzo,,69.0,190.0,,Unrecorded,1,1,0,
Bob,Sapp,The Beast,77.0,350.0,,Orthodox,11,20,0,
Daniel,Sarafian,,69.0,185.0,73.0,Orthodox,10,6,0,
Jeka,Saragih,,68.0,145.0,69.0,Orthodox,14,4,0,
Diego,Saraiva,The Octopus,66.0,155.0,,Orthodox,22,20,1,
Harris,Sarmiento,The Hitman,69.0,155.0,,Orthodox,36,26,0,
Alexander,Sarnavskiy,Tiger,71.0,155.0,,Unrecorded,35,6,0,
Yuki,Sasaki,,74.0,185.0,,Orthodox,25,22,2,
Kyosuke,Sasaki,,67.0,183.0,,Southpaw,3,7,4,
Yuta,Sasaki,Ulka,70.0,125.0,71.0,Southpaw,21,6,2,
Paul,Sass,,72.0,155.0,73.0,Orthodox,14,2,0,
Keisuke,Sasu,Sasuke,65.0,145.0,69.0,Switch,11,3,1,
Masaaki,Satake,,73.0,220.0,,Orthodox,1,8,1,
Takenori,Sato,,70.0,170.0,,Southpaw,19,11,7,
Takashi,Sato,Ten,70.0,170.0,73.0,Southpaw,16,7,0,
Uran,Satybaldiev,Gorilla,,205.0,,Unrecorded,7,1,0,
Jeimeson,Saudino,The Minion,66.0,135.0,,Unrecorded,8,5,0,
Tom,Sauer,,73.0,263.0,,Unrecorded,25,12,0,
Townsend,Saunders,,65.0,170.0,,Orthodox,0,2,0,
Ben,Saunders,Killa B,74.0,170.0,77.0,Orthodox,22,13,2,
Chad W.,Saunders,,70.0,170.0,,Orthodox,7,2,0,
Chris,Saunders,The So Cal Kid,68.0,155.0,,Unrecorded,16,8,0,
Christien,Savoie,The Tiger,71.0,170.0,72.0,Orthodox,10,2,1,
Lumumba,Sayers,,72.0,185.0,,Unrecorded,6,5,0,
Matt,Sayles,,67.0,155.0,68.0,Orthodox,8,4,0,
Brandon,Sayles,Man of War,77.0,265.0,,Unrecorded,5,1,0,
Mikheil,Sazhiniani,Spartan,72.0,205.0,71.0,Orthodox,13,3,0,
Mark,Scanlon,,69.0,170.0,,Orthodox,9,2,0,
Eric,Schafer,Red,75.0,185.0,76.0,Orthodox,14,8,2,
Kerry,Schall,Meat Truck,74.0,265.0,,Orthodox,24,13,0,
Eric,Schambari,,71.0,185.0,,Orthodox,15,6,0,
Brendan,Schaub,Big Brown,76.0,245.0,78.0,Orthodox,10,5,0,
Matheus,Scheffel,Buffa,74.0,205.0,75.0,Orthodox,14,7,0,
Antonio,Schembri,Nino,69.0,205.0,,Orthodox,5,5,0,
Fabiano,Scherner,Pegaleve,75.0,257.0,,Orthodox,11,10,0,
Samy,Schiavo,,68.0,155.0,,Orthodox,10,6,0,
Pat,Schilling,Thrilling,68.0,145.0,,Orthodox,5,2,0,
Joe,Schilling,,75.0,185.0,,Unrecorded,2,5,0,
Semmy,Schilt,Hightower,82.0,265.0,,Orthodox,26,14,1,
Adam,Schindler,,68.0,155.0,,Unrecorded,10,6,0,
Daniel,Schmitt,,,185.0,,Unrecorded,2,3,0,
Colleen,Schneider,,,135.0,,Unrecorded,11,7,0,
Matt,Schnell,Danger,68.0,125.0,70.0,Orthodox,16,9,0,
Alex,Schoenauer,,75.0,185.0,,Orthodox,15,10,0,
Bailey,Schoenfelder,Berserk,75.0,265.0,76.0,Orthodox,5,1,0,
Darrill,Schoonover,The Boss,74.0,220.0,,Orthodox,14,8,0,
Bob,Schrijber,Dirty,72.0,240.0,,Orthodox,20,17,1,
Nate,Schroeder,,73.0,230.0,,Unrecorded,11,10,0,
Lacey,Schuckman,,63.0,125.0,,Unrecorded,11,10,0,
Mark,Schultz,,69.0,200.0,,Orthodox,1,1,0,
Wes,Schultz,Party Time,74.0,185.0,77.0,Orthodox,6,2,0,
Brian,Schwartz,,75.0,170.0,,Orthodox,1,1,0,
Eric,Schwartz,,,205.0,,Unrecorded,2,0,0,
Justin,Scoggins,,67.0,125.0,66.0,Southpaw,11,5,0,
Brad,Scott,Bear,73.0,170.0,76.0,Orthodox,11,6,0,
Greg,Scott,,69.0,145.0,,Unrecorded,3,4,0,
Louis Lee,Scott,Lightning,,135.0,,Unrecorded,8,0,0,
Zachary,Scroggin,,75.0,170.0,74.0,Orthodox,7,1,0,
Mike,Seal,Crazy Boy,76.0,185.0,,Orthodox,13,15,1,
Matt,Secor,,72.0,170.0,,Unrecorded,8,4,0,
Kenneth,Seegrist,,72.0,185.0,,Orthodox,4,7,0,
Neil,Seery,2Tap,64.0,125.0,64.0,Orthodox,16,13,0,
Rony,Sefo,,69.0,225.0,,Orthodox,0,2,0,
Ray,Sefo,Sugarfoot,72.0,240.0,,Orthodox,2,2,0,
Brendan,Seguin,,72.0,185.0,,Unrecorded,23,19,1,
Tetsuya,Seki,,70.0,155.0,,Unrecorded,14,8,1,
Stefan,Sekulic,,72.0,170.0,75.0,Southpaw,12,4,0,
Pete,Sell,Drago,71.0,170.0,75.0,Orthodox,10,7,0,
Matthew,Semelsberger,Semi The Jedi,73.0,170.0,75.0,Switch,11,8,0,
Andrei,Semenov,,72.0,185.0,,Orthodox,34,9,2,
Mackens,Semerzier,Da Menace,69.0,145.0,72.0,Orthodox,8,4,0,
Brandon,Sene,,71.0,205.0,,Unrecorded,2,2,0,
YeDam,Seo,,63.0,115.0,63.0,Orthodox,7,4,0,
Kim In,Seok,,66.0,145.0,,Orthodox,3,6,0,
Ray,Seraille,,75.0,246.0,,Unrecorded,8,9,0,
Ivan,Serati,,72.0,205.0,,Orthodox,12,4,0,
Alex,Serdyukov,The Russian Crusher,74.0,170.0,74.0,Orthodox,8,5,0,
Nicholas,Sergiacomi,,,170.0,,Unrecorded,1,1,0,
Matt,Serra,The Terra,66.0,170.0,68.0,Orthodox,11,7,0,
Nick,Serra,The Mad Monkey,69.0,170.0,,Orthodox,7,3,0,
Adrian,Serrano,,68.0,170.0,,Unrecorded,56,29,4,
Fredy,Serrano,El Profe,63.0,125.0,65.0,Orthodox,3,2,0,
Carl,Seumanutafa,,73.0,255.0,,Orthodox,10,8,0,
Igor,Severino,,67.0,125.0,69.0,Orthodox,8,1,0,
Dan,Severn,The Beast,74.0,250.0,,Southpaw,101,19,1,
Rosi,Sexton,The Surgeon,63.0,135.0,,Orthodox,13,5,0,
Scott,Shaffer,,67.0,145.0,,Orthodox,0,1,0,
Edmen,Shahbazyan,The Golden Boy,74.0,185.0,74.0,Orthodox,14,5,0,
Leon,Shahbazyan,,76.0,170.0,74.0,Orthodox,7,2,0,
Don,Shainis,Shameless,66.0,145.0,67.0,Orthodox,12,5,0,
Liliya,Shakirova,,64.0,125.0,65.0,Orthodox,8,2,0,
Kamal,Shalorus,Prince of Persia,68.0,155.0,68.0,Orthodox,9,5,2,
Ken,Shamrock,The World's Most Dangerous Man,73.0,205.0,72.0,Orthodox,28,17,2,
Frank,Shamrock,,70.0,185.0,,Orthodox,23,10,2,
Shang,Zhifa,Northeast Flying Tiger,67.0,125.0,63.0,Orthodox,32,8,0,
Sean,Sharaf,The Smoke,75.0,252.0,77.0,Orthodox,4,1,0,
Priya,Sharma,The Catwoman,61.0,115.0,59.0,Orthodox,5,2,0,
Jason,Sharp,,,205.0,,Unrecorded,3,3,0,
Eric,Shelton,Showtime,66.0,125.0,68.0,Orthodox,12,6,0,
Sean,Sherk,The Muscle Shark,66.0,155.0,67.0,Orthodox,36,4,1,
Chase,Sherman,The Vanilla Gorilla,76.0,250.0,78.0,Orthodox,16,12,0,
Valentina,Shevchenko,Bullet,65.0,125.0,66.0,Southpaw,24,4,1,
Antonina,Shevchenko,La Pantera,68.0,125.0,67.0,Southpaw,10,4,0,
Shi,Ming,,62.0,115.0,60.0,Orthodox,17,5,0,
Katsuyori,Shibata,,72.0,168.0,,Orthodox,4,11,1,
Jake,Shields,,72.0,170.0,72.0,Orthodox,31,9,1,
Henrique,Shiguemoto,,71.0,185.0,72.0,Orthodox,13,4,1,
Shunichi,Shimizu,,65.0,135.0,,Orthodox,30,18,11,
Wade,Shipp,The Nightmare,75.0,245.0,,Orthodox,11,5,0,
Raja,Shippen,,66.0,145.0,,Unrecorded,18,11,1,
Yuya,Shirai,,68.0,168.0,,Orthodox,26,14,2,
Wes,Shivers,,80.0,,,Unrecorded,7,1,0,
Alexander,Shlemenko,Storm,71.0,185.0,,Unrecorded,56,9,0,
Josh,Shockley,,73.0,155.0,,Orthodox,11,4,0,
Josh,Shockman,The War Hammer,76.0,235.0,,Southpaw,6,3,0,
Akira,Shoji,,68.0,195.0,,Orthodox,14,17,5,
Liudvik,Sholinian,Palmeyros,70.0,135.0,71.0,Orthodox,9,4,1,
Jack,Shore,Tank,68.0,145.0,71.0,Orthodox,17,3,0,
Landon,Showalter,The Show,72.0,185.0,,Unrecorded,11,19,1,
Ivan,Shtyrkov,Ural Hulk,72.0,205.0,74.0,Orthodox,15,0,1,
Brandon,Shuey,Big Dawg,67.0,155.0,,Orthodox,7,6,0,
Ronal,Siahaan,Naga Sakti,67.0,125.0,71.0,Southpaw,7,1,0,
Sam,Sicilia,,68.0,145.0,67.0,Orthodox,15,8,0,
Kiril,Sidelnikov,,71.0,230.0,,Unrecorded,11,4,0,
Serhiy,Sidey,,71.0,135.0,72.0,Switch,11,2,0,
Steven,Siler,Super,71.0,145.0,70.0,Orthodox,29,16,0,
Siala,Siliga,Mighty Mo,73.0,290.0,,Orthodox,12,5,0,
Xavier,Siller,Young Guns,65.0,125.0,,Unrecorded,5,5,0,
Assuerio,Silva,,70.0,241.0,,Orthodox,16,8,0,
Anderson,Silva,The Spider,74.0,185.0,77.0,Southpaw,34,11,0,
Wanderlei,Silva,The Axe Murderer,71.0,205.0,74.0,Orthodox,35,13,1,
Thiago,Silva,,74.0,205.0,74.0,Orthodox,19,6,0,
Paulo Cesar,Silva,Giant,89.0,385.0,,Orthodox,2,6,0,
Jean,Silva,White Bear,66.0,160.0,,Orthodox,19,12,3,
Edson,Silva,Paredao,,205.0,,Orthodox,14,12,0,
Sidney,Silva,,75.0,170.0,,Southpaw,8,4,0,
Jay,Silva,,74.0,185.0,,Southpaw,10,11,1,
Antonio,Silva,Bigfoot,76.0,264.0,82.0,Orthodox,19,12,1,
Fabio,Silva,,71.0,205.0,,Orthodox,1,8,0,
Erick,Silva,,72.0,170.0,74.0,Orthodox,19,9,0,
Leandro,Silva,Buscape,69.0,155.0,72.0,Orthodox,20,6,1,
Claudio,Silva,Hannibal,71.0,170.0,71.0,Southpaw,14,4,0,
Wagner,Silva,Wagnao,72.0,170.0,,Orthodox,6,3,0,
Rafael,Silva,Morcego,67.0,135.0,,Unrecorded,28,6,0,
Joaquim,Silva,Netto BJJ,68.0,155.0,69.0,Southpaw,13,6,0,
Felipe,Silva,,72.0,155.0,77.0,Orthodox,8,2,0,
Dayana,Silva,,67.0,135.0,,Orthodox,7,4,0,
Bruno,Silva,Bulldog,64.0,125.0,65.0,Orthodox,14,6,2,
Bruno,Silva,Blindado,72.0,185.0,74.0,Orthodox,23,12,0,
Gabriel,Silva,,66.0,135.0,71.0,Orthodox,8,2,0,
Jacob,Silva,Lil Animal,65.0,125.0,67.0,Orthodox,6,4,0,
Natalia,Silva,,64.0,125.0,65.0,Southpaw,18,5,1,
Jansey,Silva,Jones,74.0,185.0,67.0,Orthodox,7,2,0,
Maria,Silva,Viuva Negra,63.0,115.0,64.0,Orthodox,8,1,0,
Karine,Silva,Killer,65.0,125.0,67.0,Orthodox,18,5,0,
Erik,Silva,The King,69.0,145.0,71.0,Orthodox,9,3,0,
Janaina,Silva,Jana-Iron-Hand,61.0,115.0,60.0,Orthodox,5,1,0,
Jhonata,Silva,,65.0,125.0,66.0,Orthodox,8,2,0,
Jean,Silva,Lord,67.0,145.0,69.0,Orthodox,15,2,0,
Danny,Silva,El Puma,71.0,145.0,70.0,Switch,10,1,0,
Douglas,Silva de Andrade,D Silva,67.0,135.0,68.0,Orthodox,29,6,0,
Leonardo,Silva de Oliveira,Cabecao,74.0,185.0,,Orthodox,12,4,0,
Marcus,Silveira,Conan,75.0,242.0,,Orthodox,6,4,0,
Elias,Silverio,Xuxu,71.0,155.0,73.0,Orthodox,13,3,0,
Sim,Kai Xiong,Kobra,65.0,125.0,66.0,Orthodox,5,1,0,
Jamey,Simmons,The Afro Samurai,66.0,135.0,70.0,Orthodox,7,4,0,
Ricky,Simon,,66.0,135.0,69.0,Orthodox,21,6,0,
Aaron,Simpson,A-Train,72.0,170.0,73.0,Orthodox,12,5,0,
Wes,Sims,The Project,82.0,260.0,,Orthodox,24,14,1,
Marlon,Sims,,,170.0,,Unrecorded,3,4,0,
Tony,Sims,,71.0,155.0,70.0,Southpaw,12,4,0,
Everett,Sims,Sexual Chocolate,77.0,260.0,77.0,Southpaw,4,1,0,
Lodune,Sincaid,,69.0,185.0,,Orthodox,15,9,0,
Rob,Sinclair,,68.0,155.0,,Unrecorded,13,5,0,
Rory,Singer,Outburst,74.0,185.0,77.0,Orthodox,11,9,0,
Rana Rudra Pratap,Singh,Ashwathama,70.0,135.0,69.0,Orthodox,11,2,0,
Kiran,Singh,Stubborn,61.0,115.0,65.0,Orthodox,7,4,0,
Elvis,Sinosic,The King of Rock n' Rumble,75.0,205.0,77.0,Orthodox,7,11,2,
Mitchell,Sipe,No Dice,74.0,245.0,,Orthodox,4,1,0,
Gian,Siqueira,Pitbull,73.0,170.0,74.0,Orthodox,19,5,0,
Jeremia,Siregar,The Teacher,62.0,125.0,63.0,Orthodox,6,3,0,
AJ,Siscoe,Let's Go,67.0,135.0,,Unrecorded,1,2,0,
Yokthai,Sithoar,,67.0,143.0,,Unrecorded,0,1,0,
Jeri,Sitzes,,65.0,125.0,,Unrecorded,3,1,0,
Dennis,Siver,,66.0,145.0,70.0,Orthodox,23,11,0,
Chas,Skelly,The Scrapper,71.0,145.0,72.0,Orthodox,19,3,0,
Matt,Skelton,,75.0,265.0,,Orthodox,0,1,0,
Zach,Skinner,,66.0,145.0,,Orthodox,10,11,0,
Brian,Sleeman,,68.0,185.0,,Unrecorded,9,9,1,
Joe,Slick,,72.0,199.0,,Orthodox,16,5,3,
Ray,Sloan,,73.0,205.0,,Unrecorded,8,1,0,
Kestutis,Smirnovas,,70.0,200.0,,Orthodox,24,8,2,
Maurice,Smith,,74.0,221.0,,Orthodox,12,14,0,
Patrick,Smith,,74.0,225.0,,Orthodox,20,17,0,
Scott,Smith,Hands of Steel,72.0,185.0,70.0,Orthodox,18,11,0,
Eric,Smith,,,,,Southpaw,1,1,0,
Josh,Smith,,72.0,155.0,,Orthodox,9,8,0,
David,Smith,,,155.0,,Unrecorded,5,1,0,
Adam,Smith,,,,,Unrecorded,0,3,0,
Dillon,Smith,,72.0,170.0,,Unrecorded,0,0,0,
Trevor,Smith,Hot Sauce,75.0,185.0,75.0,Orthodox,15,10,0,
Anthony,Smith,Lionheart,76.0,205.0,76.0,Orthodox,38,21,0,
Colton,Smith,,72.0,155.0,71.0,Orthodox,7,4,0,
Gilbert,Smith,,69.0,185.0,,Southpaw,12,6,0,
Leslie,Smith,The Peacemaker,69.0,135.0,66.0,Orthodox,10,7,1,
Devonte,Smith,King Kage,69.0,155.0,76.0,Orthodox,11,4,0,
Cole,Smith,The Cole Train,71.0,135.0,67.0,Orthodox,7,2,0,
Nate,Smith,The Savage,66.0,125.0,69.0,Switch,6,1,0,
Braxton,Smith,The Beautiful Monster,71.0,257.0,72.0,Orthodox,5,2,0,
Elijah,Smith,Swift,69.0,135.0,71.0,Orthodox,8,1,0,
Jacobe,Smith,Cobe,70.0,170.0,72.0,Southpaw,10,0,0,
Walter,Smith-Cotito,,68.0,135.0,,Unrecorded,4,5,0,
Justin,Smitley,,,145.0,,Unrecorded,10,7,1,
Dmitrii,Smoliakov,The Lifeguard,74.0,253.0,74.0,Switch,9,3,0,
Louis,Smolka,Da Last Samurai,69.0,135.0,68.0,Orthodox,17,9,0,
Cameron,Smotherman,The Baby-Faced Killa,69.0,135.0,69.0,Orthodox,12,4,0,
Shimon,Smotritsky,The Assassin,74.0,170.0,74.0,Orthodox,8,2,0,
Richie,Smullen,,69.0,155.0,68.0,Orthodox,3,1,1,
Devin,Smyth,,70.0,170.0,72.0,Switch,4,2,0,
Denis,Sobolev,,75.0,216.0,,Orthodox,4,7,0,
Peter,Sobotta,,72.0,170.0,75.0,Southpaw,17,7,1,
Renato,Sobral,Babalu,73.0,205.0,75.0,Orthodox,37,11,0,
Rameau Thierry,Sokoudjou,The African Assassin,70.0,205.0,78.0,Orthodox,18,18,0,
Alexander,Soldatkin,,74.0,250.0,75.0,Orthodox,14,4,0,
Joe,Solecki,,69.0,155.0,70.0,Orthodox,13,6,0,
Chris,Solomon,,71.0,155.0,,Unrecorded,0,0,0,
Joe,Son,,64.0,236.0,,Orthodox,0,4,0,
Paul,Song,,,185.0,,Unrecorded,2,2,0,
Song,Kenan,The Assassin,72.0,170.0,71.0,Orthodox,22,9,0,
Song,Yadong,Kung Fu Kid,68.0,135.0,67.0,Orthodox,22,7,1,
YoungJae,Song,Super Rookie,67.0,145.0,70.0,Orthodox,6,1,1,
Emrah,Sonmez,Anatolian Wolf,70.0,145.0,71.0,Orthodox,14,5,0,
Chael,Sonnen,,73.0,205.0,73.0,Southpaw,29,15,1,
Cody,Sons,,69.0,205.0,,Unrecorded,3,7,0,
Jin,Soo Son,,66.0,135.0,69.0,Orthodox,9,4,0,
Benardo,Sopaj,Lion King,66.0,135.0,66.0,Orthodox,12,3,0,
Emiliano,Sordi,He-Man,74.0,205.0,,Orthodox,16,7,0,
Sean,Soriano,,69.0,145.0,70.0,Orthodox,14,8,0,
Punahele,Soriano,Puna,71.0,170.0,72.0,Southpaw,11,4,0,
Dmitry,Sosnovskiy,Wicked Machine,75.0,240.0,77.0,Orthodox,11,0,0,
Ben,Sosoli,Combat Wombat,72.0,265.0,72.0,Southpaw,7,3,0,
Krzysztof,Soszynski,The Polish Experiment,73.0,205.0,77.0,Open Stance,26,12,1,
George,Sotiropoulos,,70.0,155.0,71.0,Orthodox,14,7,0,
Greg,Soto,,71.0,170.0,73.0,Orthodox,9,4,0,
Alex,Soto,Extremo,68.0,135.0,,Southpaw,8,3,1,
Joe,Soto,One Bad Mofo,66.0,135.0,65.0,Orthodox,18,7,0,
Mario,Soto,Dr. Mario,72.0,145.0,,Unrecorded,7,2,0,
Andre,Soukhamthath,The Asian Sensation,69.0,135.0,70.0,Orthodox,13,8,0,
Mario,Sousa,Coracao Valente,75.0,185.0,79.0,Orthodox,15,3,0,
Bobby,Southworth,,74.0,205.0,,Orthodox,10,6,0,
Jacare,Souza,,73.0,185.0,72.0,Orthodox,26,10,0,
Edimilson,Souza,Kevin,72.0,145.0,74.0,Orthodox,15,5,0,
Livinha,Souza,The Brazilian Gangsta,63.0,115.0,63.0,Orthodox,14,4,0,
Bruno,Souza,The Tiger,70.0,145.0,70.0,Orthodox,10,3,0,
Ketlen,Souza,Esquentadinha,63.0,115.0,63.0,Orthodox,15,5,0,
Heraldo,Souza,Savage,71.0,185.0,73.0,Orthodox,9,2,1,
Charon,Spain,,69.0,155.0,,Unrecorded,14,26,0,
Chris,Spang,The Kiss,74.0,170.0,,Orthodox,6,3,0,
